week_start_date,season,month,season_week,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases,8_wk_rolling_mean,13_wk_rolling_mean
1991-07-02,1991/1992,Jul,10,0,0,0,4,9,0,13,17.5,24.0
1991-07-09,1991/1992,Jul,11,0,0,0,1,13,0,14,18.25,29.076923076923077
1991-07-16,1991/1992,Jul,12,0,0,0,0,17,1,18,23.375,33.0
1991-07-23,1991/1992,Jul,13,0,0,0,0,23,0,23,29.125,36.46153846153846
1991-07-30,1991/1992,Jul,14,0,1,0,1,23,0,25,36.375,40.07692307692308
1991-08-06,1991/1992,Aug,15,8,3,0,1,50,0,62,43.0,45.84615384615385
1991-08-13,1991/1992,Aug,16,3,4,0,0,53,0,60,49.25,51.53846153846154
1991-08-20,1991/1992,Aug,17,6,9,0,1,60,0,76,55.5,61.30769230769231
1991-08-27,1991/1992,Aug,18,7,0,0,4,55,0,66,63.75,69.15384615384616
1991-09-03,1991/1992,Sep,19,5,4,0,0,55,0,64,72.125,78.6923076923077
1991-09-10,1991/1992,Sep,20,1,2,0,2,63,0,68,81.875,86.84615384615384
1991-09-17,1991/1992,Sep,21,1,2,0,0,86,0,89,88.875,95.6923076923077
1991-09-24,1991/1992,Sep,22,7,6,0,1,78,0,92,97.125,101.6923076923077
1991-10-01,1991/1992,Oct,23,1,8,0,2,129,0,140,105.0,106.84615384615384
1991-10-08,1991/1992,Oct,24,0,4,0,0,110,2,116,114.5,110.92307692307692
1991-10-15,1991/1992,Oct,25,7,4,0,4,127,0,142,123.5,118.84615384615384
1991-10-22,1991/1992,Oct,26,14,3,0,2,108,2,129,128.25,124.76923076923077
1991-10-29,1991/1992,Oct,27,6,3,0,4,126,1,140,132.875,127.84615384615384
1991-11-05,1991/1992,Nov,28,10,1,0,3,126,0,140,136.5,127.0
1991-11-12,1991/1992,Nov,29,5,6,0,5,111,0,127,139.625,125.3076923076923
1991-11-19,1991/1992,Nov,30,8,5,0,4,111,1,129,135.375,120.76923076923077
1991-11-26,1991/1992,Nov,31,11,3,0,6,148,1,169,129.0,119.84615384615384
1991-12-03,1991/1992,Dec,32,3,3,0,3,131,1,141,120.25,115.84615384615384
1991-12-10,1991/1992,Dec,33,4,5,0,4,95,0,108,112.875,112.46153846153847
1991-12-17,1991/1992,Dec,34,1,2,0,2,69,4,78,110.0,105.92307692307692
1991-12-24,1991/1992,Dec,35,0,1,0,3,64,2,70,105.125,99.23076923076923
1992-01-01,1991/1992,Jan,36,0,1,0,1,63,16,81,94.625,94.46153846153847
1992-01-08,1991/1992,Jan,37,2,2,0,5,89,6,104,83.875,87.07692307692308
1992-01-15,1991/1992,Jan,38,4,2,0,1,79,4,90,77.0,77.0
1992-01-22,1991/1992,Jan,39,1,1,0,0,83,0,85,75.375,70.6923076923077
1992-01-29,1991/1992,Jan,40,0,0,0,2,51,2,55,70.75,65.46153846153847
1992-02-05,1991/1992,Feb,41,0,0,0,3,43,7,53,65.375,62.30769230769231
1992-02-12,1991/1992,Feb,42,2,2,0,1,54,6,65,59.75,59.15384615384615
1992-02-19,1991/1992,Feb,43,1,0,0,1,31,0,33,53.5,55.23076923076923
1992-02-26,1991/1992,Feb,44,3,2,0,1,32,0,38,47.5,49.53846153846154
1992-03-04,1991/1992,Mar,45,5,1,0,1,52,0,59,44.25,44.76923076923077
1992-03-11,1991/1992,Mar,46,3,1,0,3,33,0,40,41.375,40.0
1992-03-18,1991/1992,Mar,47,1,0,0,0,36,0,37,37.0,37.61538461538461
1992-03-25,1991/1992,Mar,48,2,0,0,1,26,0,29,36.375,35.76923076923077
1992-04-01,1991/1992,Apr,49,2,0,0,0,28,0,30,34.5,32.76923076923077
1992-04-08,1991/1992,Apr,50,1,2,0,0,27,0,30,30.125,32.0
1992-04-15,1991/1992,Apr,51,1,0,0,0,27,0,28,28.75,30.615384615384617
1992-04-22,1991/1992,Apr,52,2,0,0,0,21,0,23,27.375,27.53846153846154
1992-04-29,1992/1993,Apr,1,0,0,0,1,23,0,24,26.625,26.0
1992-05-06,1992/1993,May,2,2,2,0,0,25,0,29,25.375,25.153846153846153
1992-05-13,1992/1993,May,3,3,1,0,0,22,0,26,24.0,25.153846153846153
1992-05-20,1992/1993,May,4,1,0,0,1,21,0,23,23.0,25.23076923076923
1992-05-27,1992/1993,May,5,4,0,0,0,16,0,20,23.375,25.076923076923077
1992-06-03,1992/1993,Jun,6,0,0,0,0,19,0,19,24.0,24.923076923076923
1992-06-10,1992/1993,Jun,7,1,0,0,0,19,0,20,24.25,25.615384615384617
1992-06-17,1992/1993,Jun,8,3,0,0,2,21,0,26,24.5,26.46153846153846
1992-06-24,1992/1993,Jun,9,0,0,0,2,27,0,29,24.875,26.76923076923077
1992-07-01,1992/1993,Jul,10,2,0,0,1,28,0,31,26.375,27.076923076923077
1992-07-08,1992/1993,Jul,11,0,0,0,0,28,0,28,28.375,29.307692307692307
1992-07-15,1992/1993,Jul,12,0,0,0,0,26,0,26,30.0,32.30769230769231
1992-07-22,1992/1993,Jul,13,3,1,0,1,27,0,32,30.5,36.0
1992-07-29,1992/1993,Jul,14,2,3,0,3,25,2,35,33.375,39.46153846153846
1992-08-05,1992/1993,Aug,15,4,2,0,1,22,4,33,36.875,43.15384615384615
1992-08-12,1992/1993,Aug,16,2,0,0,1,21,6,30,41.75,46.30769230769231
1992-08-19,1992/1993,Aug,17,9,4,0,2,24,13,52,46.625,48.61538461538461
1992-08-26,1992/1993,Aug,18,7,5,0,0,34,13,59,51.875,50.53846153846154
1992-09-02,1992/1993,Sep,19,11,2,0,1,33,20,67,56.25,54.38461538461539
1992-09-09,1992/1993,Sep,20,8,2,0,4,37,14,65,59.75,56.61538461538461
1992-09-16,1992/1993,Sep,21,4,1,0,1,45,23,74,62.625,58.30769230769231
1992-09-23,1992/1993,Sep,22,6,4,0,0,40,20,70,65.625,59.15384615384615
1992-09-30,1992/1993,Sep,23,9,4,0,1,29,18,61,65.875,59.46153846153846
1992-10-07,1992/1993,Oct,24,4,2,0,1,31,15,53,64.625,59.07692307692308
1992-10-14,1992/1993,Oct,25,2,1,0,0,44,29,76,62.0,59.15384615384615
1992-10-21,1992/1993,Oct,26,0,1,0,0,27,33,61,57.0,58.61538461538461
1992-10-28,1992/1993,Oct,27,3,0,0,1,31,22,57,54.125,57.69230769230769
1992-11-04,1992/1993,Nov,28,7,2,0,0,22,13,44,54.0,54.76923076923077
1992-11-11,1992/1993,Nov,29,0,1,0,1,19,13,34,54.875,51.76923076923077
1992-11-18,1992/1993,Nov,30,0,1,0,0,23,23,47,52.0,49.38461538461539
1992-11-25,1992/1993,Nov,31,0,0,0,0,35,25,60,48.875,47.76923076923077
1992-12-02,1992/1993,Dec,32,0,0,0,1,35,24,60,45.625,44.07692307692308
1992-12-09,1992/1993,Dec,33,1,0,0,0,28,24,53,43.875,41.92307692307692
1992-12-16,1992/1993,Dec,34,0,1,0,1,22,12,36,43.625,40.07692307692308
1992-12-23,1992/1993,Dec,35,1,1,0,0,23,6,31,41.25,39.38461538461539
1993-01-01,1992/1993,Jan,36,3,0,0,0,23,4,30,37.875,38.46153846153846
1993-01-08,1992/1993,Jan,37,0,0,0,1,26,5,32,34.5,35.84615384615385
1993-01-15,1992/1993,Jan,38,0,1,0,0,27,0,28,32.25,32.23076923076923
1993-01-22,1992/1993,Jan,39,0,2,0,0,28,3,33,30.5,29.23076923076923
1993-01-29,1992/1993,Jan,40,4,3,0,0,24,2,33,28.25,26.46153846153846
1993-02-05,1992/1993,Feb,41,2,0,0,0,33,0,35,26.125,24.53846153846154
1993-02-12,1992/1993,Feb,42,0,0,0,1,21,0,22,24.75,22.76923076923077
1993-02-19,1992/1993,Feb,43,1,0,0,0,12,0,13,23.375,21.076923076923077
1993-02-26,1992/1993,Feb,44,2,0,0,0,11,0,13,20.625,19.076923076923077
1993-03-05,1992/1993,Mar,45,0,1,0,0,20,0,21,17.5,17.384615384615383
1993-03-12,1992/1993,Mar,46,2,1,0,0,14,0,17,14.125,15.384615384615385
1993-03-19,1992/1993,Mar,47,0,1,0,0,10,0,11,12.125,13.76923076923077
1993-03-26,1992/1993,Mar,48,2,0,0,0,6,0,8,11.25,12.384615384615385
1993-04-02,1992/1993,Apr,49,0,0,0,0,8,0,8,10.5,11.461538461538462
1993-04-09,1992/1993,Apr,50,0,0,0,1,5,0,6,9.375,11.23076923076923
1993-04-16,1992/1993,Apr,51,0,1,0,0,5,0,6,9.375,11.615384615384615
1993-04-23,1992/1993,Apr,52,1,0,0,0,6,0,7,9.25,11.461538461538462
1993-04-30,1993/1994,Apr,1,1,1,0,0,10,0,12,9.5,11.076923076923077
1993-05-07,1993/1994,May,2,1,1,0,0,15,0,17,10.75,11.923076923076923
1993-05-14,1993/1994,May,3,0,0,0,0,10,0,10,12.375,12.23076923076923
1993-05-21,1993/1994,May,4,0,0,0,1,9,0,10,13.125,13.23076923076923
1993-05-28,1993/1994,May,5,0,0,0,0,18,0,18,15.0,14.153846153846153
1993-06-04,1993/1994,Jun,6,0,0,0,0,18,1,19,15.0,14.923076923076923
1993-06-11,1993/1994,Jun,7,0,0,0,0,12,0,12,15.5,15.615384615384615
1993-06-18,1993/1994,Jun,8,0,2,0,0,18,2,22,16.5,16.384615384615383
1993-06-25,1993/1994,Jun,9,4,1,0,0,7,0,12,17.25,16.384615384615383
1993-07-02,1993/1994,Jul,10,0,1,0,0,20,0,21,17.0,17.53846153846154
1993-07-09,1993/1994,Jul,11,1,1,0,0,16,0,18,17.375,18.53846153846154
1993-07-16,1993/1994,Jul,12,0,3,0,1,12,0,16,18.0,18.076923076923077
1993-07-23,1993/1994,Jul,13,1,0,0,0,15,0,16,18.375,18.53846153846154
1993-07-30,1993/1994,Jul,14,2,1,0,1,18,0,22,19.75,19.76923076923077
1993-08-06,1993/1994,Aug,15,0,1,0,0,16,0,17,18.625,20.153846153846153
1993-08-13,1993/1994,Aug,16,1,1,0,1,22,0,25,19.5,20.615384615384617
1993-08-20,1993/1994,Aug,17,0,2,0,2,18,1,23,21.0,20.76923076923077
1993-08-27,1993/1994,Aug,18,1,1,0,1,9,0,12,22.375,21.153846153846153
1993-09-03,1993/1994,Sep,19,2,2,0,1,19,1,25,21.875,22.153846153846153
1993-09-10,1993/1994,Sep,20,0,1,0,0,27,0,28,22.625,23.846153846153847
1993-09-17,1993/1994,Sep,21,3,2,0,2,20,0,27,22.375,24.923076923076923
1993-09-24,1993/1994,Sep,22,1,1,0,0,16,0,18,23.125,26.923076923076923
1993-10-01,1993/1994,Oct,23,1,1,0,0,21,0,23,26.375,28.53846153846154
1993-10-08,1993/1994,Oct,24,1,3,0,0,18,1,23,27.75,29.153846153846153
1993-10-15,1993/1994,Oct,25,1,2,0,0,26,0,29,29.625,30.153846153846153
1993-10-22,1993/1994,Oct,26,4,6,0,0,27,1,38,32.0,31.307692307692307
1993-10-29,1993/1994,Oct,27,2,3,0,2,28,1,36,33.625,31.53846153846154
1993-11-05,1993/1994,Nov,28,6,7,0,3,27,0,43,33.875,32.38461538461539
1993-11-12,1993/1994,Nov,29,5,5,0,0,34,2,46,36.0,33.30769230769231
1993-11-19,1993/1994,Nov,30,6,5,0,0,18,2,31,36.25,33.23076923076923
1993-11-26,1993/1994,Nov,31,2,5,0,0,18,0,25,36.25,33.84615384615385
1993-12-03,1993/1994,Dec,32,7,4,0,2,22,5,40,35.5,33.61538461538461
1993-12-10,1993/1994,Dec,33,2,3,0,1,20,5,31,32.875,33.38461538461539
1993-12-17,1993/1994,Dec,34,1,2,0,0,32,3,38,31.0,33.38461538461539
1993-12-24,1993/1994,Dec,35,5,7,0,1,17,0,30,30.375,33.07692307692308
1994-01-01,1993/1994,Jan,36,2,3,0,0,17,0,22,31.625,31.46153846153846
1994-01-08,1993/1994,Jan,37,2,5,0,0,24,0,31,31.125,31.46153846153846
1994-01-15,1993/1994,Jan,38,3,4,0,0,19,0,26,32.125,32.38461538461539
1994-01-22,1993/1994,Jan,39,4,5,0,1,23,2,35,30.5,31.846153846153847
1994-01-29,1993/1994,Jan,40,3,9,0,1,21,2,36,30.625,31.384615384615383
1994-02-05,1993/1994,Feb,41,4,7,0,2,24,2,39,32.5,30.307692307692307
1994-02-12,1993/1994,Feb,42,6,5,0,1,13,0,25,32.75,29.384615384615383
1994-02-19,1993/1994,Feb,43,1,2,0,1,27,0,31,32.625,29.46153846153846
1994-02-26,1993/1994,Feb,44,3,5,0,2,27,0,37,31.25,28.076923076923077
1994-03-05,1993/1994,Mar,45,6,3,0,1,23,0,33,29.0,27.46153846153846
1994-03-12,1993/1994,Mar,46,4,3,0,1,17,0,25,27.0,25.846153846153847
1994-03-19,1993/1994,Mar,47,4,4,0,2,14,0,24,25.5,24.384615384615383
1994-03-26,1993/1994,Mar,48,0,1,0,0,17,0,18,23.875,23.076923076923077
1994-04-02,1993/1994,Apr,49,0,4,0,0,19,0,23,21.0,22.153846153846153
1994-04-09,1993/1994,Apr,50,0,2,0,0,11,0,13,19.0,21.615384615384617
1994-04-16,1993/1994,Apr,51,2,1,0,0,15,0,18,18.625,21.153846153846153
1994-04-23,1993/1994,Apr,52,1,3,0,0,10,0,14,17.25,21.23076923076923
1994-04-30,1994/1995,Apr,1,2,1,0,1,13,0,17,18.0,21.692307692307693
1994-05-07,1994/1995,May,2,2,4,0,0,16,0,22,19.0,22.23076923076923
1994-05-14,1994/1995,May,3,2,0,0,0,11,0,13,21.625,23.76923076923077
1994-05-21,1994/1995,May,4,2,3,0,2,17,0,24,23.25,25.76923076923077
1994-05-28,1994/1995,May,5,2,7,0,0,22,0,31,25.375,28.0
1994-06-04,1994/1995,Jun,6,3,5,0,2,23,1,34,28.0,30.384615384615383
1994-06-11,1994/1995,Jun,7,3,4,0,2,22,0,31,31.375,33.53846153846154
1994-06-18,1994/1995,Jun,8,4,2,0,3,21,1,31,35.0,38.38461538461539
1994-06-25,1994/1995,Jun,9,1,7,0,5,23,2,38,38.125,43.15384615384615
1994-07-02,1994/1995,Jul,10,2,4,0,2,40,1,49,41.125,47.69230769230769
1994-07-09,1994/1995,Jul,11,1,6,0,0,28,7,42,46.875,52.69230769230769
1994-07-16,1994/1995,Jul,12,0,7,0,2,33,7,49,53.5,59.15384615384615
1994-07-23,1994/1995,Jul,13,1,8,0,6,34,6,55,58.625,70.3076923076923
1994-07-30,1994/1995,Jul,14,4,18,0,1,46,11,80,65.0,83.46153846153847
1994-08-06,1994/1995,Aug,15,0,14,0,8,51,11,84,73.25,102.0
1994-08-13,1994/1995,Aug,16,3,10,0,3,49,7,72,90.375,122.3076923076923
1994-08-20,1994/1995,Aug,17,4,12,0,0,65,8,89,109.5,148.92307692307693
1994-08-27,1994/1995,Aug,18,2,12,0,3,64,34,115,136.625,178.46153846153845
1994-09-03,1994/1995,Sep,19,6,10,0,4,91,68,179,164.375,210.15384615384616
1994-09-10,1994/1995,Sep,20,1,14,0,3,59,125,202,203.25,235.23076923076923
1994-09-17,1994/1995,Sep,21,2,6,0,3,96,165,272,247.5,254.69230769230768
1994-09-24,1994/1995,Sep,22,9,14,0,6,90,183,302,294.0,275.38461538461536
1994-10-01,1994/1995,Oct,23,0,12,0,2,120,261,395,327.25,301.38461538461536
1994-10-08,1994/1995,Oct,24,2,24,0,7,137,256,426,346.5,322.53846153846155
1994-10-15,1994/1995,Oct,25,3,16,0,4,148,290,461,365.375,341.3076923076923
1994-10-22,1994/1995,Oct,26,6,13,0,1,111,250,381,382.625,349.6923076923077
1994-10-29,1994/1995,Oct,27,2,10,0,3,82,236,333,390.375,351.15384615384613
1994-11-05,1994/1995,Nov,28,2,12,0,1,73,265,353,385.875,341.6923076923077
1994-11-12,1994/1995,Nov,29,3,5,0,1,64,337,410,368.625,327.0769230769231
1994-11-19,1994/1995,Nov,30,2,1,0,1,114,246,364,338.625,308.53846153846155
1994-11-26,1994/1995,Nov,31,3,4,0,1,112,239,359,309.625,282.7692307692308
1994-12-03,1994/1995,Dec,32,2,8,0,6,78,194,288,282.0,252.84615384615384
1994-12-10,1994/1995,Dec,33,1,6,0,2,81,131,221,257.125,227.84615384615384
1994-12-17,1994/1995,Dec,34,4,9,0,0,48,88,149,217.25,205.76923076923077
1994-12-24,1994/1995,Dec,35,3,7,0,3,41,58,112,180.75,181.46153846153845
1995-01-01,1994/1995,Jan,36,3,6,0,1,65,79,154,142.875,151.92307692307693
1995-01-08,1994/1995,Jan,37,0,9,0,0,40,42,91,112.625,125.23076923076923
1995-01-15,1994/1995,Jan,38,1,3,0,2,51,15,72,89.625,98.92307692307692
1995-01-22,1994/1995,Jan,39,3,5,0,2,41,5,56,74.25,78.3076923076923
1995-01-29,1994/1995,Jan,40,5,2,0,3,26,10,46,62.375,62.15384615384615
1995-02-05,1994/1995,Feb,41,0,0,0,0,31,6,37,45.25,51.23076923076923
1995-02-12,1994/1995,Feb,42,0,0,0,1,20,5,26,36.375,43.84615384615385
1995-02-19,1994/1995,Feb,43,0,1,0,0,16,0,17,28.75,33.07692307692308
1995-02-26,1994/1995,Feb,44,0,0,0,1,15,1,17,22.625,27.307692307692307
1995-03-05,1994/1995,Mar,45,0,1,0,0,16,3,20,18.875,22.153846153846153
1995-03-12,1994/1995,Mar,46,1,0,0,0,10,0,11,16.0,18.0
1995-03-19,1994/1995,Mar,47,1,0,0,0,6,0,7,14.75,14.923076923076923
1995-03-26,1994/1995,Mar,48,2,0,0,1,13,0,16,13.25,12.461538461538462
1995-04-02,1994/1995,Apr,49,2,0,0,1,10,1,14,11.375,10.76923076923077
1995-04-09,1994/1995,Apr,50,1,3,0,1,11,0,16,9.625,9.692307692307692
1995-04-16,1994/1995,Apr,51,1,0,0,0,4,0,5,8.875,8.692307692307692
1995-04-23,1994/1995,Apr,52,0,0,0,0,2,0,2,8.5,8.384615384615385
1995-04-30,1995/1996,Apr,1,0,0,0,0,6,0,6,6.875,8.153846153846153
1995-05-07,1995/1996,May,2,0,1,0,0,4,0,5,5.625,8.153846153846153
1995-05-14,1995/1996,May,3,0,0,0,1,3,0,4,5.625,7.6923076923076925
1995-05-21,1995/1996,May,4,0,0,0,0,3,0,3,6.0,7.6923076923076925
1995-05-28,1995/1996,May,5,0,0,0,0,4,0,4,6.625,7.0
1995-06-04,1995/1996,Jun,6,2,1,0,1,12,0,16,7.125,7.3076923076923075
1995-06-11,1995/1996,Jun,7,1,0,0,1,6,0,8,8.25,8.0
1995-06-18,1995/1996,Jun,8,0,0,0,0,6,1,7,8.625,9.307692307692308
1995-06-25,1995/1996,Jun,9,1,0,0,1,7,1,10,9.375,10.23076923076923
1995-07-02,1995/1996,Jul,10,1,0,0,0,11,2,14,10.25,11.384615384615385
1995-07-09,1995/1996,Jul,11,0,0,0,1,6,0,7,11.125,13.0
1995-07-16,1995/1996,Jul,12,1,1,0,1,5,1,9,12.25,14.0
1995-07-23,1995/1996,Jul,13,0,0,0,0,10,1,11,13.75,14.923076923076923
1995-07-30,1995/1996,Jul,14,1,4,0,0,15,3,23,15.5,17.384615384615383
1995-08-06,1995/1996,Aug,15,0,2,0,1,11,3,17,15.875,19.384615384615383
1995-08-13,1995/1996,Aug,16,0,0,0,1,17,1,19,18.5,21.0
1995-08-20,1995/1996,Aug,17,0,1,0,1,18,4,24,22.375,22.46153846153846
1995-08-27,1995/1996,Aug,18,0,1,0,0,13,3,17,25.125,24.153846153846153
1995-09-03,1995/1996,Sep,19,4,1,0,0,21,2,28,26.125,25.76923076923077
1995-09-10,1995/1996,Sep,20,1,2,0,5,30,2,40,28.125,27.692307692307693
1995-09-17,1995/1996,Sep,21,4,1,0,0,26,2,33,29.375,29.615384615384617
1995-09-24,1995/1996,Sep,22,2,3,0,1,21,4,31,30.125,31.384615384615383
1995-10-01,1995/1996,Oct,23,2,1,0,2,25,3,33,32.5,32.07692307692308
1995-10-08,1995/1996,Oct,24,2,1,0,0,26,0,29,35.0,33.0
1995-10-15,1995/1996,Oct,25,2,3,0,3,19,3,30,35.0,33.15384615384615
1995-10-22,1995/1996,Oct,26,1,1,0,1,27,6,36,34.375,33.61538461538461
1995-10-29,1995/1996,Oct,27,3,3,0,2,34,6,48,35.0,32.30769230769231
1995-11-05,1995/1996,Nov,28,0,0,0,2,28,10,40,33.25,31.076923076923077
1995-11-12,1995/1996,Nov,29,0,1,0,1,14,12,28,33.875,30.0
1995-11-19,1995/1996,Nov,30,0,1,0,1,28,6,36,33.0,29.23076923076923
1995-11-26,1995/1996,Nov,31,0,0,0,1,16,2,19,30.625,28.076923076923077
1995-12-03,1995/1996,Dec,32,0,0,0,0,18,16,34,26.75,27.307692307692307
1995-12-10,1995/1996,Dec,33,0,0,0,1,12,10,23,24.625,25.53846153846154
1995-12-17,1995/1996,Dec,34,0,0,0,1,13,3,17,22.875,23.615384615384617
1995-12-24,1995/1996,Dec,35,0,0,0,0,15,2,17,20.875,22.076923076923077
1996-01-01,1995/1996,Jan,36,0,1,0,1,20,1,23,20.125,21.153846153846153
1996-01-08,1995/1996,Jan,37,1,0,0,1,12,0,14,18.75,19.615384615384617
1996-01-15,1995/1996,Jan,38,2,0,0,0,18,0,20,18.375,19.923076923076923
1996-01-22,1995/1996,Jan,39,1,0,0,0,12,0,13,18.25,18.384615384615383
1996-01-29,1995/1996,Jan,40,0,1,0,0,20,2,23,18.125,17.76923076923077
1996-02-05,1995/1996,Feb,41,1,0,0,3,14,2,20,18.125,16.76923076923077
1996-02-12,1995/1996,Feb,42,0,0,0,0,16,0,16,18.125,15.846153846153847
1996-02-19,1995/1996,Feb,43,0,1,0,0,14,1,16,17.5,14.461538461538462
1996-02-26,1995/1996,Feb,44,2,0,0,0,19,2,23,16.375,14.23076923076923
1996-03-04,1995/1996,Mar,45,1,1,0,1,11,0,14,14.125,13.538461538461538
1996-03-11,1995/1996,Mar,46,0,0,0,1,10,4,15,12.25,13.076923076923077
1996-03-18,1995/1996,Mar,47,0,0,0,0,3,1,4,11.625,11.615384615384615
1996-03-25,1995/1996,Mar,48,0,1,0,0,4,0,5,11.0,10.538461538461538
1996-04-01,1995/1996,Apr,49,0,0,0,0,4,1,5,9.0,9.692307692307692
1996-04-08,1995/1996,Apr,50,2,1,0,1,4,3,11,7.75,8.615384615384615
1996-04-15,1995/1996,Apr,51,0,0,0,1,9,1,11,6.625,7.153846153846154
