week_start_date,season,month,season_week,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,total_cases,8_wk_rolling_mean,13_wk_rolling_mean
2001-06-11,2000/2001,Jun,50,0,0,0,0,0,0,0.375,0.23076923076923078
2001-06-18,2000/2001,Jun,51,0,0,0,0,1,1,0.375,0.23076923076923078
2001-06-25,2000/2001,Jun,52,0,0,0,0,0,0,0.25,0.23076923076923078
2001-07-02,2001/2002,Jul,1,0,0,0,0,0,0,0.125,0.23076923076923078
2001-07-09,2001/2002,Jul,2,0,0,0,0,0,0,0.125,0.15384615384615385
2001-07-16,2001/2002,Jul,3,0,0,0,0,0,0,0.125,0.07692307692307693
2001-07-23,2001/2002,Jul,4,0,0,0,0,0,0,0.0,0.07692307692307693
2001-07-30,2001/2002,Jul,5,0,0,0,0,0,0,0.0,0.07692307692307693
2001-08-06,2001/2002,Aug,6,0,0,0,0,0,0,0.0,0.0
2001-08-13,2001/2002,Aug,7,0,0,0,0,0,0,0.0,0.0
2001-08-20,2001/2002,Aug,8,0,0,0,0,0,0,0.0,0.0
2001-08-27,2001/2002,Aug,9,0,0,0,0,0,0,0.0,0.0
2001-09-03,2001/2002,Sep,10,0,0,0,0,0,0,0.0,0.0
2001-09-10,2001/2002,Sep,11,0,0,0,0,0,0,0.0,0.0
2001-09-17,2001/2002,Sep,12,0,0,0,0,0,0,0.0,0.0
2001-09-24,2001/2002,Sep,13,0,0,0,0,0,0,0.0,0.0
2001-10-01,2001/2002,Oct,14,0,0,0,0,0,0,0.0,0.0
2001-10-08,2001/2002,Oct,15,0,0,0,0,0,0,0.0,0.07692307692307693
2001-10-15,2001/2002,Oct,16,0,0,0,0,0,0,0.0,0.15384615384615385
2001-10-22,2001/2002,Oct,17,0,0,0,0,0,0,0.0,0.23076923076923078
2001-10-29,2001/2002,Oct,18,0,0,0,0,0,0,0.125,0.38461538461538464
2001-11-05,2001/2002,Nov,19,0,0,0,0,0,0,0.25,0.6923076923076923
2001-11-12,2001/2002,Nov,20,0,0,0,0,0,0,0.375,0.7692307692307693
2001-11-19,2001/2002,Nov,21,0,0,0,0,1,1,0.625,1.0769230769230769
2001-11-26,2001/2002,Nov,22,0,0,0,0,1,1,1.125,1.9230769230769231
2001-12-03,2001/2002,Dec,23,0,0,1,0,0,1,1.25,3.1538461538461537
2001-12-10,2001/2002,Dec,24,1,0,0,0,1,2,1.75,4.923076923076923
2001-12-17,2001/2002,Dec,25,2,0,0,0,2,4,3.125,5.846153846153846
2001-12-24,2001/2002,Dec,26,0,0,0,0,1,1,5.0,6.923076923076923
2002-01-01,2001/2002,Jan,27,2,0,1,0,1,4,7.75,8.307692307692308
2002-01-08,2001/2002,Jan,28,5,0,3,0,3,11,9.125,8.846153846153847
2002-01-15,2001/2002,Jan,29,4,0,7,0,5,16,10.625,9.307692307692308
2002-01-22,2001/2002,Jan,30,7,1,5,0,10,23,12.375,10.0
2002-01-29,2001/2002,Jan,31,8,2,1,0,1,12,13.25,10.384615384615385
2002-02-05,2001/2002,Feb,32,3,1,1,0,9,14,13.625,10.846153846153847
2002-02-12,2001/2002,Feb,33,7,1,3,0,7,18,13.5,11.153846153846153
2002-02-19,2001/2002,Feb,34,3,0,2,0,3,8,12.375,11.692307692307692
2002-02-26,2001/2002,Feb,35,2,0,2,0,3,7,10.75,11.461538461538462
2002-03-05,2001/2002,Mar,36,3,0,6,0,1,10,9.875,11.615384615384615
2002-03-12,2001/2002,Mar,37,2,0,3,0,2,7,9.5,10.846153846153847
2002-03-19,2001/2002,Mar,38,2,1,5,0,2,10,8.25,10.615384615384615
2002-03-26,2001/2002,Mar,39,0,0,3,0,2,5,9.5,11.23076923076923
2002-04-02,2001/2002,Apr,40,1,0,8,0,2,11,10.25,10.615384615384615
2002-04-09,2001/2002,Apr,41,1,0,4,0,3,8,10.125,10.384615384615385
2002-04-16,2001/2002,Apr,42,1,0,12,0,5,18,12.0,10.846153846153847
2002-04-23,2001/2002,Apr,43,2,1,6,0,4,13,12.0,10.23076923076923
2002-04-30,2001/2002,Apr,44,0,0,7,0,2,9,12.0,10.538461538461538
2002-05-07,2001/2002,May,45,2,0,15,0,5,22,12.25,10.615384615384615
2002-05-14,2001/2002,May,46,1,1,4,0,4,10,11.5,10.461538461538462
2002-05-21,2001/2002,May,47,0,0,4,0,1,5,10.625,10.153846153846153
2002-05-28,2001/2002,May,48,0,1,7,0,5,13,10.375,10.076923076923077
2002-06-04,2001/2002,Jun,49,0,0,0,0,2,2,9.625,9.0
2002-06-11,2001/2002,Jun,50,0,0,6,0,5,11,7.75,8.384615384615385
2002-06-18,2001/2002,Jun,51,0,0,6,0,5,11,7.375,8.153846153846153
2002-06-25,2001/2002,Jun,52,0,0,1,0,2,3,7.25,7.0
2002-07-02,2002/2003,Jul,1,0,0,2,0,5,7,6.25,6.769230769230769
2002-07-09,2002/2003,Jul,2,1,0,3,0,3,7,6.75,6.6923076923076925
2002-07-16,2002/2003,Jul,3,0,0,1,0,3,4,6.25,6.384615384615385
2002-07-23,2002/2003,Jul,4,0,0,2,0,3,5,5.75,7.538461538461538
2002-07-30,2002/2003,Jul,5,0,0,5,0,1,6,5.875,7.3076923076923075
2002-08-06,2002/2003,Aug,6,0,0,4,0,3,7,6.125,8.153846153846153
2002-08-13,2002/2003,Aug,7,0,0,3,0,4,7,7.375,9.307692307692308
2002-08-20,2002/2003,Aug,8,0,0,1,0,3,4,7.875,10.384615384615385
2002-08-27,2002/2003,Aug,9,1,0,4,0,4,9,10.0,11.076923076923077
2002-09-03,2002/2003,Sep,10,1,0,12,0,4,17,11.5,13.153846153846153
2002-09-10,2002/2003,Sep,11,0,0,5,0,3,8,13.25,14.692307692307692
2002-09-17,2002/2003,Sep,12,0,0,21,0,1,22,14.375,16.384615384615383
2002-09-24,2002/2003,Sep,13,0,0,16,0,2,18,17.75,17.846153846153847
2002-10-01,2002/2003,Oct,14,0,0,16,0,5,21,19.75,18.692307692307693
2002-10-08,2002/2003,Oct,15,0,0,13,0,3,16,21.125,20.46153846153846
2002-10-15,2002/2003,Oct,16,0,0,19,0,12,31,23.375,20.615384615384617
2002-10-22,2002/2003,Oct,17,0,0,16,0,9,25,22.875,22.23076923076923
2002-10-29,2002/2003,Oct,18,0,0,21,0,7,28,24.0,23.846153846153847
2002-11-05,2002/2003,Nov,19,0,0,18,0,8,26,22.75,23.76923076923077
2002-11-12,2002/2003,Nov,20,0,0,6,0,12,18,25.5,23.23076923076923
2002-11-19,2002/2003,Nov,21,0,0,11,0,16,27,25.25,22.384615384615383
2002-11-26,2002/2003,Nov,22,0,0,8,0,3,11,24.75,21.53846153846154
2002-12-03,2002/2003,Dec,23,0,0,22,0,16,38,22.625,19.615384615384617
2002-12-10,2002/2003,Dec,24,0,0,21,0,8,29,20.625,17.846153846153847
2002-12-17,2002/2003,Dec,25,0,0,18,0,3,21,19.0,15.76923076923077
2002-12-24,2002/2003,Dec,26,0,0,9,0,2,11,16.375,13.923076923076923
2003-01-01,2002/2003,Jan,27,0,0,8,0,2,10,15.25,12.692307692307692
2003-01-08,2002/2003,Jan,28,0,0,3,0,2,5,10.625,10.846153846153847
2003-01-15,2002/2003,Jan,29,0,0,5,0,1,6,7.25,10.384615384615385
2003-01-22,2002/2003,Jan,30,0,0,1,0,1,2,4.875,7.538461538461538
2003-01-29,2002/2003,Jan,31,0,0,0,0,1,1,3.875,5.615384615384615
2003-02-05,2002/2003,Feb,32,0,0,1,0,1,2,3.25,4.153846153846154
2003-02-12,2002/2003,Feb,33,0,0,1,0,1,2,2.75,3.6153846153846154
2003-02-19,2002/2003,Feb,34,0,0,2,0,1,3,2.5,2.8461538461538463
2003-02-26,2002/2003,Feb,35,0,0,3,0,2,5,2.5,2.4615384615384617
2003-03-05,2002/2003,Mar,36,0,0,0,0,1,1,2.875,2.0
2003-03-12,2002/2003,Mar,37,0,0,1,0,3,4,2.625,1.8461538461538463
2003-03-19,2002/2003,Mar,38,0,0,0,0,2,2,2.375,1.8461538461538463
2003-03-26,2002/2003,Mar,39,0,0,1,0,3,4,2.0,1.7692307692307692
2003-04-02,2002/2003,Apr,40,0,0,0,0,0,0,1.375,1.6923076923076923
2003-04-09,2002/2003,Apr,41,0,0,0,0,0,0,1.375,1.5384615384615385
2003-04-16,2002/2003,Apr,42,0,0,0,0,0,0,1.0,1.2307692307692308
2003-04-23,2002/2003,Apr,43,0,0,0,0,0,0,0.875,1.3076923076923077
2003-04-30,2002/2003,Apr,44,0,0,0,0,1,1,0.5,1.2307692307692308
2003-05-07,2002/2003,May,45,0,0,1,0,0,1,0.625,1.3846153846153846
2003-05-14,2002/2003,May,46,0,0,1,0,0,1,0.875,1.5384615384615385
2003-05-21,2002/2003,May,47,0,0,1,0,0,1,1.25,1.6923076923076923
2003-05-28,2002/2003,May,48,0,0,1,0,0,1,1.75,1.8461538461538463
2003-06-04,2002/2003,Jun,49,0,0,1,0,1,2,2.375,2.230769230769231
2003-06-11,2002/2003,Jun,50,0,0,2,0,1,3,2.5,2.3076923076923075
2003-06-18,2002/2003,Jun,51,0,0,3,0,1,4,2.625,2.3076923076923075
2003-06-25,2002/2003,Jun,52,0,0,4,0,2,6,3.125,2.230769230769231
2003-07-02,2003/2004,Jul,1,0,0,1,0,1,2,3.125,2.1538461538461537
2003-07-09,2003/2004,Jul,2,0,0,2,0,0,2,3.0,2.076923076923077
2003-07-16,2003/2004,Jul,3,0,0,4,0,1,5,2.625,2.0
2003-07-23,2003/2004,Jul,4,0,0,0,0,1,1,2.125,2.0
2003-07-30,2003/2004,Jul,5,0,0,1,0,0,1,1.375,1.7692307692307692
2003-08-06,2003/2004,Aug,6,0,0,0,0,0,0,1.125,1.6923076923076923
2003-08-13,2003/2004,Aug,7,0,0,0,0,0,0,1.125,1.2307692307692308
2003-08-20,2003/2004,Aug,8,0,0,0,0,0,0,0.5,1.0769230769230769
2003-08-27,2003/2004,Aug,9,0,0,0,0,0,0,0.75,0.9230769230769231
2003-09-03,2003/2004,Sep,10,0,0,1,0,1,2,0.625,0.6923076923076923
2003-09-10,2003/2004,Sep,11,0,0,0,0,0,0,0.625,0.7692307692307693
2003-09-17,2003/2004,Sep,12,0,0,2,0,1,3,0.625,0.9230769230769231
2003-09-24,2003/2004,Sep,13,0,0,0,0,0,0,0.875,1.1538461538461537
2003-10-01,2003/2004,Oct,14,0,0,0,0,0,0,1.125,1.3846153846153846
2003-10-08,2003/2004,Oct,15,0,0,0,0,0,0,1.25,1.4615384615384615
2003-10-15,2003/2004,Oct,16,0,0,1,0,1,2,1.625,1.6153846153846154
2003-10-22,2003/2004,Oct,17,0,0,1,0,1,2,1.625,1.6923076923076923
2003-10-29,2003/2004,Oct,18,0,0,0,0,3,3,1.75,2.1538461538461537
2003-11-05,2003/2004,Nov,19,0,0,0,0,3,3,2.0,2.3076923076923075
2003-11-12,2003/2004,Nov,20,0,0,0,0,3,3,2.375,2.3846153846153846
2003-11-19,2003/2004,Nov,21,0,0,1,0,0,1,2.875,2.6923076923076925
2003-11-26,2003/2004,Nov,22,0,0,1,0,1,2,3.25,3.076923076923077
2003-12-03,2003/2004,Dec,23,0,0,2,0,1,3,3.0,3.5384615384615383
2003-12-10,2003/2004,Dec,24,0,0,4,0,2,6,3.125,3.769230769230769
2003-12-17,2003/2004,Dec,25,0,0,2,0,3,5,3.375,3.6923076923076925
2003-12-24,2003/2004,Dec,26,0,0,0,0,1,1,4.25,3.6923076923076925
2004-01-01,2003/2004,Jan,27,0,0,2,0,2,4,4.625,3.6923076923076925
2004-01-08,2003/2004,Jan,28,0,0,3,0,2,5,4.5,3.6923076923076925
2004-01-15,2003/2004,Jan,29,0,0,4,0,4,8,4.125,4.0
2004-01-22,2003/2004,Jan,30,0,0,2,0,3,5,3.875,4.076923076923077
2004-01-29,2003/2004,Jan,31,0,0,1,0,1,2,3.875,3.6923076923076925
2004-02-05,2003/2004,Feb,32,0,0,1,0,2,3,4.125,3.4615384615384617
2004-02-12,2003/2004,Feb,33,0,0,1,0,2,3,4.0,3.6153846153846154
2004-02-19,2003/2004,Feb,34,0,0,0,0,1,1,3.125,3.3846153846153846
2004-02-26,2003/2004,Feb,35,0,0,5,0,1,6,2.75,3.6153846153846154
2004-03-04,2003/2004,Mar,36,0,0,3,0,1,4,2.875,3.3076923076923075
2004-03-11,2003/2004,Mar,37,0,0,1,0,0,1,2.625,3.3846153846153846
2004-03-18,2003/2004,Mar,38,0,0,1,0,1,2,3.25,3.769230769230769
2004-03-25,2003/2004,Mar,39,0,0,2,0,1,3,3.625,3.923076923076923
2004-04-01,2003/2004,Apr,40,0,0,0,0,1,1,3.625,4.3076923076923075
2004-04-08,2003/2004,Apr,41,0,0,5,0,3,8,4.0,4.6923076923076925
2004-04-15,2003/2004,Apr,42,0,0,2,0,2,4,4.5,4.615384615384615
2004-04-22,2003/2004,Apr,43,0,0,4,0,2,6,5.25,4.769230769230769
2004-04-29,2003/2004,Apr,44,0,0,3,0,4,7,5.625,5.153846153846154
2004-05-06,2003/2004,May,45,0,0,3,0,2,5,6.125,6.0
2004-05-13,2003/2004,May,46,0,0,5,0,3,8,5.875,5.923076923076923
2004-05-20,2003/2004,May,47,0,0,5,0,1,6,6.125,6.615384615384615
2004-05-27,2003/2004,May,48,0,0,3,0,2,5,7.0,6.230769230769231
2004-06-03,2003/2004,Jun,49,0,0,2,0,4,6,6.375,6.846153846153846
2004-06-10,2003/2004,Jun,50,0,0,4,0,2,6,7.0,6.923076923076923
2004-06-17,2003/2004,Jun,51,0,0,9,0,4,13,6.375,6.846153846153846
2004-06-24,2003/2004,Jun,52,0,0,0,0,2,2,7.125,6.846153846153846
2004-07-01,2004/2005,Jul,1,0,0,6,0,4,10,7.375,6.6923076923076925
2004-07-08,2004/2005,Jul,2,0,0,2,0,1,3,7.375,6.6923076923076925
2004-07-15,2004/2005,Jul,3,0,0,6,0,6,12,7.25,6.769230769230769
2004-07-22,2004/2005,Jul,4,0,0,5,0,2,7,6.375,6.923076923076923
2004-07-29,2004/2005,Jul,5,0,0,5,0,1,6,6.875,6.923076923076923
2004-08-05,2004/2005,Aug,6,0,0,3,0,2,5,6.375,6.615384615384615
2004-08-12,2004/2005,Aug,7,0,0,4,0,2,6,7.0,7.384615384615385
2004-08-19,2004/2005,Aug,8,0,0,5,0,1,6,6.25,8.076923076923077
2004-08-26,2004/2005,Aug,9,0,0,4,0,2,6,6.5,8.461538461538462
2004-09-02,2004/2005,Sep,10,0,0,7,0,1,8,7.25,8.76923076923077
2004-09-09,2004/2005,Sep,11,0,0,4,0,2,6,9.0,9.846153846153847
2004-09-16,2004/2005,Sep,12,0,0,5,0,4,9,9.25,9.846153846153847
2004-09-23,2004/2005,Sep,13,0,0,7,0,5,12,10.5,11.153846153846153
2004-09-30,2004/2005,Sep,14,0,0,11,0,8,19,12.375,13.538461538461538
2004-10-07,2004/2005,Oct,15,0,0,4,0,4,8,12.125,15.615384615384615
2004-10-14,2004/2005,Oct,16,0,0,12,0,4,16,14.125,16.53846153846154
2004-10-21,2004/2005,Oct,17,0,0,15,0,6,21,17.625,22.307692307692307
2004-10-28,2004/2005,Oct,18,0,0,5,0,1,6,20.25,30.76923076923077
2004-11-04,2004/2005,Nov,19,0,0,15,0,7,22,20.125,32.53846153846154
2004-11-11,2004/2005,Nov,20,0,0,23,0,14,37,29.5,32.15384615384615
2004-11-18,2004/2005,Nov,21,0,0,28,0,5,33,42.0,31.384615384615383
2004-11-25,2004/2005,Nov,22,0,0,15,0,3,18,43.375,31.53846153846154
2004-12-02,2004/2005,Dec,23,0,0,54,0,29,83,43.5,30.692307692307693
2004-12-09,2004/2005,Dec,24,0,0,49,0,67,116,41.875,29.692307692307693
2004-12-16,2004/2005,Dec,25,0,0,29,0,3,32,38.5,29.76923076923077
2004-12-23,2004/2005,Dec,26,0,0,6,0,1,7,35.0,28.692307692307693
2005-01-01,2004/2005,Jan,27,0,0,8,0,1,9,33.75,26.692307692307693
2005-01-08,2004/2005,Jan,28,0,0,9,0,1,10,24.25,24.615384615384617
2005-01-15,2004/2005,Jan,29,0,0,2,0,3,5,10.75,23.76923076923077
2005-01-22,2004/2005,Jan,30,0,0,4,0,4,8,8.125,17.923076923076923
2005-01-29,2004/2005,Jan,31,0,0,6,0,1,7,8.0,10.076923076923077
2005-02-05,2004/2005,Feb,32,0,0,7,0,1,8,7.75,8.153846153846153
2005-02-12,2004/2005,Feb,33,0,0,6,0,5,11,7.375,8.307692307692308
2005-02-19,2004/2005,Feb,34,0,0,5,0,1,6,8.5,8.615384615384615
2005-02-26,2004/2005,Feb,35,0,0,5,0,2,7,8.375,9.076923076923077
2005-03-05,2004/2005,Mar,36,0,0,6,0,1,7,8.625,9.23076923076923
2005-03-12,2004/2005,Mar,37,0,0,13,0,1,14,9.25,9.307692307692308
2005-03-19,2004/2005,Mar,38,0,0,6,0,1,7,9.875,8.923076923076923
2005-03-26,2004/2005,Mar,39,0,0,4,0,5,9,10.0,9.307692307692308
2005-04-02,2004/2005,Apr,40,0,0,9,0,4,13,10.25,9.076923076923077
2005-04-09,2004/2005,Apr,41,0,0,12,0,4,16,9.625,8.846153846153847
2005-04-16,2004/2005,Apr,42,0,0,2,0,5,7,9.5,8.692307692307692
2005-04-23,2004/2005,Apr,43,0,0,4,0,5,9,9.625,8.461538461538462
2005-04-30,2004/2005,Apr,44,0,0,1,0,1,2,8.875,8.0
2005-05-07,2004/2005,May,45,0,0,6,0,7,13,7.875,7.615384615384615
2005-05-14,2004/2005,May,46,0,0,4,0,4,8,6.375,7.153846153846154
2005-05-21,2004/2005,May,47,0,0,2,0,1,3,6.5,6.538461538461538
2005-05-28,2004/2005,May,48,0,0,2,0,3,5,5.625,5.846153846153846
2005-06-04,2004/2005,Jun,49,0,0,3,0,1,4,5.75,5.538461538461538
2005-06-11,2004/2005,Jun,50,0,0,6,0,2,8,4.75,5.230769230769231
2005-06-18,2004/2005,Jun,51,0,0,1,0,1,2,4.625,5.538461538461538
2005-06-25,2004/2005,Jun,52,0,0,2,0,1,3,4.625,4.923076923076923
2005-07-02,2005/2006,Jul,1,0,0,2,0,3,5,4.625,4.6923076923076925
2005-07-09,2005/2006,Jul,2,0,0,4,0,3,7,4.875,4.769230769230769
2005-07-16,2005/2006,Jul,3,0,0,2,0,1,3,4.5,4.384615384615385
2005-07-23,2005/2006,Jul,4,0,0,5,0,0,5,4.875,4.076923076923077
2005-07-30,2005/2006,Jul,5,0,0,2,0,4,6,5.0,3.4615384615384617
2005-08-06,2005/2006,Aug,6,0,0,4,0,1,5,4.375,3.3076923076923075
2005-08-13,2005/2006,Aug,7,0,0,3,0,2,5,3.5,3.076923076923077
2005-08-20,2005/2006,Aug,8,0,0,1,0,3,4,3.125,2.8461538461538463
2005-08-27,2005/2006,Aug,9,0,0,0,0,0,0,2.5,2.6153846153846154
2005-09-03,2005/2006,Sep,10,0,0,0,0,0,0,1.75,2.6923076923076925
2005-09-10,2005/2006,Sep,11,0,0,0,0,0,0,1.375,2.5384615384615383
2005-09-17,2005/2006,Sep,12,0,0,0,0,0,0,1.25,2.3076923076923075
2005-09-24,2005/2006,Sep,13,0,0,0,0,0,0,1.25,2.3076923076923075
2005-10-01,2005/2006,Oct,14,0,0,1,0,1,2,1.625,2.3846153846153846
2005-10-08,2005/2006,Oct,15,0,0,2,0,2,4,2.0,3.1538461538461537
2005-10-15,2005/2006,Oct,16,0,0,2,0,2,4,2.625,3.3846153846153846
2005-10-22,2005/2006,Oct,17,0,0,0,0,3,3,3.375,3.923076923076923
2005-10-29,2005/2006,Oct,18,0,0,1,0,2,3,5.125,4.769230769230769
2005-11-05,2005/2006,Nov,19,0,0,3,0,2,5,5.25,4.923076923076923
2005-11-12,2005/2006,Nov,20,0,0,3,0,3,6,5.625,5.384615384615385
2005-11-19,2005/2006,Nov,21,1,0,8,0,5,14,6.5,5.846153846153846
2005-11-26,2005/2006,Nov,22,0,0,1,0,2,3,6.375,7.461538461538462
2005-12-03,2005/2006,Dec,23,1,0,4,0,2,7,6.75,8.76923076923077
2005-12-10,2005/2006,Dec,24,0,0,7,0,4,11,7.125,9.307692307692308
2005-12-17,2005/2006,Dec,25,0,0,1,0,1,2,9.5,11.23076923076923
2005-12-24,2005/2006,Dec,26,0,0,2,0,4,6,10.375,13.846153846153847
2006-01-01,2005/2006,Jan,27,0,0,5,0,3,8,11.25,14.923076923076923
2006-01-08,2005/2006,Jan,28,0,0,14,0,11,25,13.875,15.692307692307692
2006-01-15,2005/2006,Jan,29,0,0,15,0,6,21,17.375,17.615384615384617
2006-01-22,2005/2006,Jan,30,0,0,6,0,4,10,19.625,19.076923076923077
2006-01-29,2005/2006,Jan,31,0,0,21,0,7,28,21.875,18.846153846153847
2006-02-05,2005/2006,Feb,32,1,0,24,0,14,39,24.375,19.384615384615383
2006-02-12,2005/2006,Feb,33,0,0,9,0,11,20,24.5,19.846153846153847
2006-02-19,2005/2006,Feb,34,0,0,18,0,6,24,22.875,20.615384615384617
2006-02-26,2005/2006,Feb,35,0,0,24,0,4,28,22.75,19.384615384615383
2006-03-05,2005/2006,Mar,36,0,0,23,0,3,26,20.75,18.46153846153846
2006-03-12,2005/2006,Mar,37,0,0,7,0,1,8,18.125,18.153846153846153
2006-03-19,2005/2006,Mar,38,0,0,6,0,3,9,16.75,16.46153846153846
2006-03-26,2005/2006,Mar,39,0,0,8,0,4,12,14.875,14.076923076923077
2006-04-02,2005/2006,Apr,40,0,0,13,0,5,18,12.125,12.923076923076923
2006-04-09,2005/2006,Apr,41,0,0,6,0,3,9,9.625,11.615384615384615
2006-04-16,2005/2006,Apr,42,0,0,7,0,2,9,9.625,9.923076923076923
2006-04-23,2005/2006,Apr,43,0,0,5,0,1,6,9.125,8.307692307692308
2006-04-30,2005/2006,Apr,44,0,0,5,0,1,6,8.5,7.923076923076923
2006-05-07,2005/2006,May,45,0,0,6,0,2,8,7.0,7.3076923076923075
2006-05-14,2005/2006,May,46,0,0,4,0,1,5,6.5,6.384615384615385
2006-05-21,2005/2006,May,47,0,0,3,0,4,7,5.75,5.076923076923077
2006-05-28,2005/2006,May,48,0,0,5,0,1,6,5.125,4.538461538461538
2006-06-04,2005/2006,Jun,49,0,0,2,0,3,5,4.375,4.076923076923077
2006-06-11,2005/2006,Jun,50,0,0,1,0,2,3,3.5,3.769230769230769
2006-06-18,2005/2006,Jun,51,0,0,0,0,1,1,3.125,3.4615384615384617
2006-06-25,2005/2006,Jun,52,0,0,0,0,0,0,2.625,3.0
2006-07-02,2006/2007,Jul,1,0,0,0,0,1,1,2.125,2.769230769230769
2006-07-09,2006/2007,Jul,2,0,0,1,0,1,2,1.75,2.3846153846153846
2006-07-16,2006/2007,Jul,3,0,0,2,0,1,3,1.625,2.230769230769231
2006-07-23,2006/2007,Jul,4,0,0,1,0,1,2,1.75,1.8461538461538463
2006-07-30,2006/2007,Jul,5,0,0,1,0,1,2,2.0,2.076923076923077
2006-08-06,2006/2007,Aug,6,0,0,1,0,1,2,2.375,2.230769230769231
2006-08-13,2006/2007,Aug,7,0,0,1,0,1,2,2.125,2.3846153846153846
2006-08-20,2006/2007,Aug,8,0,0,1,0,1,2,2.5,2.769230769230769
2006-08-27,2006/2007,Aug,9,0,0,3,0,1,4,2.625,2.769230769230769
2006-09-03,2006/2007,Sep,10,0,0,0,0,0,0,2.625,3.076923076923077
2006-09-10,2006/2007,Sep,11,0,0,5,0,1,6,3.125,3.230769230769231
